     2    0.11317E+03    0.34801E-02    0.54849E-02    0.68968E-01
     3    0.90891E+02    0.44916E-02    0.63621E-02   -0.89703E-01
     4    0.85170E+02    0.47923E-02    0.62747E-02   -0.14052E+00
     5    0.82864E+02    0.44152E-02    0.55308E-02   -0.14923E+00
     6    0.81844E+02    0.36367E-02    0.44836E-02   -0.13858E+00
     7    0.81484E+02    0.27439E-02    0.34160E-02   -0.12046E+00
     8    0.81472E+02    0.19616E-02    0.25015E-02   -0.10241E+00
     9    0.81660E+02    0.13853E-02    0.18166E-02   -0.86775E-01
    10    0.81969E+02    0.10478E-02    0.13661E-02   -0.75331E-01
    11    0.82328E+02    0.90867E-03    0.11194E-02   -0.67448E-01
    12    0.82650E+02    0.91394E-03    0.10314E-02   -0.63283E-01
    13    0.82942E+02    0.10071E-02    0.10553E-02   -0.61327E-01
    14    0.83213E+02    0.11511E-02    0.11526E-02   -0.62879E-01
    15    0.83484E+02    0.13185E-02    0.12950E-02   -0.65856E-01
    16    0.83731E+02    0.14995E-02    0.14638E-02   -0.71149E-01
    17    0.83915E+02    0.16866E-02    0.16474E-02   -0.76283E-01
    18    0.84023E+02    0.18830E-02    0.18402E-02   -0.83287E-01
    19    0.84087E+02    0.20873E-02    0.20395E-02   -0.91075E-01
    20    0.84077E+02    0.22998E-02    0.22443E-02   -0.99723E-01
    21    0.84010E+02    0.25192E-02    0.24541E-02   -0.10879E+00
    22    0.83894E+02    0.27453E-02    0.26687E-02   -0.11841E+00
    23    0.83730E+02    0.29778E-02    0.28881E-02   -0.12862E+00
    24    0.83521E+02    0.32165E-02    0.31116E-02   -0.13935E+00
    25    0.83271E+02    0.34611E-02    0.33392E-02   -0.15064E+00
    26    0.82977E+02    0.37121E-02    0.35699E-02   -0.16250E+00
    27    0.82647E+02    0.39674E-02    0.38041E-02   -0.17433E+00
    28    0.82280E+02    0.42278E-02    0.40417E-02   -0.18652E+00
    29    0.81878E+02    0.44938E-02    0.42821E-02   -0.19901E+00
    30    0.81444E+02    0.47648E-02    0.45251E-02   -0.21177E+00
    31    0.80974E+02    0.50418E-02    0.47705E-02   -0.22512E+00
    32    0.80474E+02    0.53223E-02    0.50179E-02   -0.23826E+00
    33    0.79946E+02    0.56063E-02    0.52675E-02   -0.25133E+00
    34    0.79389E+02    0.58949E-02    0.55190E-02   -0.26461E+00
    35    0.78805E+02    0.61879E-02    0.57721E-02   -0.27804E+00
    36    0.78193E+02    0.64866E-02    0.60262E-02   -0.29187E+00
    37    0.77555E+02    0.67891E-02    0.62810E-02   -0.30565E+00
    38    0.76893E+02    0.70928E-02    0.65367E-02   -0.31906E+00
    39    0.76208E+02    0.73987E-02    0.67931E-02   -0.33227E+00
    40    0.75500E+02    0.77085E-02    0.70497E-02   -0.34556E+00
    41    0.74770E+02    0.80234E-02    0.73058E-02   -0.35908E+00
    42    0.74020E+02    0.83417E-02    0.75614E-02   -0.37264E+00
    43    0.73249E+02    0.86610E-02    0.78163E-02   -0.38592E+00
    44    0.72459E+02    0.89797E-02    0.80703E-02   -0.39871E+00
    45    0.71651E+02    0.92989E-02    0.83229E-02   -0.41117E+00
    46    0.70826E+02    0.96203E-02    0.85735E-02   -0.42355E+00
    47    0.69985E+02    0.99452E-02    0.88216E-02   -0.43602E+00
    48    0.69128E+02    0.10272E-01    0.90672E-02   -0.44840E+00
    49    0.68257E+02    0.10598E-01    0.93102E-02   -0.46042E+00
    50    0.67371E+02    0.10921E-01    0.95505E-02   -0.47191E+00
    51    0.66473E+02    0.11242E-01    0.97876E-02   -0.48296E+00
    52    0.65562E+02    0.11564E-01    0.10021E-01   -0.49377E+00
    53    0.64640E+02    0.11887E-01    0.10249E-01   -0.50446E+00
    54    0.63707E+02    0.12209E-01    0.10473E-01   -0.51490E+00
    55    0.62764E+02    0.12528E-01    0.10693E-01   -0.52492E+00
    56    0.61813E+02    0.12843E-01    0.10908E-01   -0.53439E+00
    57    0.60854E+02    0.13155E-01    0.11119E-01   -0.54342E+00
    58    0.59888E+02    0.13467E-01    0.11324E-01   -0.55217E+00
    59    0.58915E+02    0.13778E-01    0.11523E-01   -0.56075E+00
    60    0.57936E+02    0.14088E-01    0.11716E-01   -0.56900E+00
    61    0.56952E+02    0.14392E-01    0.11903E-01   -0.57670E+00
    62    0.55963E+02    0.14688E-01    0.12086E-01   -0.58371E+00
    63    0.54972E+02    0.14980E-01    0.12262E-01   -0.59018E+00
    64    0.53977E+02    0.15269E-01    0.12432E-01   -0.59632E+00
    65    0.52981E+02    0.15559E-01    0.12594E-01   -0.60229E+00
    66    0.51983E+02    0.15846E-01    0.12751E-01   -0.60794E+00
    67    0.50984E+02    0.16127E-01    0.12900E-01   -0.61307E+00
    68    0.49986E+02    0.16399E-01    0.13044E-01   -0.61752E+00
    69    0.48988E+02    0.16664E-01    0.13182E-01   -0.62135E+00
    70    0.47991E+02    0.16923E-01    0.13313E-01   -0.62469E+00
    71    0.46996E+02    0.17177E-01    0.13437E-01   -0.62762E+00
    72    0.46004E+02    0.17428E-01    0.13554E-01   -0.63018E+00
    73    0.45016E+02    0.17674E-01    0.13664E-01   -0.63234E+00
    74    0.44031E+02    0.17915E-01    0.13766E-01   -0.63410E+00
    75    0.43050E+02    0.18150E-01    0.13862E-01   -0.63546E+00
    76    0.42074E+02    0.18380E-01    0.13950E-01   -0.63639E+00
    77    0.41104E+02    0.18604E-01    0.14031E-01   -0.63691E+00
    78    0.40140E+02    0.18821E-01    0.14106E-01   -0.63699E+00
