  0.119712E-01  0.145761E+08  0.145609E+08 -0.212605E+04  0.290429E+04  0.000000E+00  0.145735E+08
  0.124805E-01  0.143457E+08  0.143294E+08 -0.194193E+04  0.268903E+04  0.000000E+00  0.143430E+08
  0.130116E-01  0.141088E+08  0.140914E+08 -0.115908E+04  0.255252E+04  0.000000E+00  0.141059E+08
  0.135652E-01  0.138654E+08  0.138468E+08 -0.128213E+04  0.237501E+04  0.000000E+00  0.138623E+08
  0.141423E-01  0.136155E+08  0.135956E+08 -0.139595E+04  0.216349E+04  0.000000E+00  0.136121E+08
  0.147440E-01  0.133589E+08  0.133377E+08 -0.110816E+04  0.195335E+04  0.000000E+00  0.133554E+08
  0.153713E-01  0.130958E+08  0.130732E+08 -0.111136E+04  0.176097E+04  0.000000E+00  0.130920E+08
  0.160253E-01  0.128262E+08  0.128021E+08 -0.743734E+03  0.158230E+04  0.000000E+00  0.128221E+08
  0.167072E-01  0.125501E+08  0.125245E+08 -0.850215E+03  0.140187E+04  0.000000E+00  0.125458E+08
  0.174180E-01  0.122676E+08  0.122405E+08 -0.589749E+03  0.121260E+04  0.000000E+00  0.122631E+08
  0.181591E-01  0.119790E+08  0.119502E+08 -0.634423E+03  0.105181E+04  0.000000E+00  0.119742E+08
  0.189317E-01  0.116844E+08  0.116540E+08 -0.812101E+03  0.980122E+03  0.000000E+00  0.116794E+08
  0.197372E-01  0.113842E+08  0.113521E+08 -0.550097E+03  0.925012E+03  0.000000E+00  0.113788E+08
  0.205769E-01  0.110786E+08  0.110448E+08 -0.424220E+03  0.770124E+03  0.000000E+00  0.110729E+08
  0.214524E-01  0.107681E+08  0.107326E+08 -0.535403E+03  0.713198E+03  0.000000E+00  0.107622E+08
  0.223652E-01  0.104532E+08  0.104161E+08 -0.312692E+03  0.635265E+03  0.000000E+00  0.104470E+08
  0.233167E-01  0.101346E+08  0.100959E+08 -0.310023E+03  0.567376E+03  0.000000E+00  0.101282E+08
  0.243088E-01  0.981303E+07  0.977268E+07 -0.404548E+03  0.489040E+03  0.000000E+00  0.980629E+07
  0.253430E-01  0.948926E+07  0.944743E+07 -0.265788E+03  0.466344E+03  0.000000E+00  0.948227E+07
  0.264213E-01  0.916430E+07  0.912110E+07 -0.290360E+03  0.398167E+03  0.000000E+00  0.915708E+07
  0.275455E-01  0.883926E+07  0.879483E+07 -0.185942E+03  0.338708E+03  0.000000E+00  0.883183E+07
  0.287174E-01  0.851534E+07  0.846986E+07 -0.151095E+03  0.299813E+03  0.000000E+00  0.850774E+07
  0.299393E-01  0.819389E+07  0.814756E+07 -0.154251E+03  0.266514E+03  0.000000E+00  0.818615E+07
  0.312131E-01  0.787634E+07  0.782942E+07 -0.140064E+03  0.234368E+03  0.000000E+00  0.786850E+07
  0.325411E-01  0.756421E+07  0.751697E+07 -0.127379E+03  0.208176E+03  0.000000E+00  0.755632E+07
  0.339256E-01  0.725907E+07  0.721182E+07 -0.129747E+03  0.193991E+03  0.000000E+00  0.725118E+07
  0.353691E-01  0.696252E+07  0.691561E+07 -0.106359E+03  0.172930E+03  0.000000E+00  0.695468E+07
  0.368739E-01  0.667610E+07  0.662990E+07 -0.939603E+02  0.142276E+03  0.000000E+00  0.666838E+07
  0.384428E-01  0.640128E+07  0.635616E+07 -0.103612E+03  0.135854E+03  0.000000E+00  0.639374E+07
  0.400784E-01  0.613935E+07  0.609572E+07 -0.889086E+02  0.114047E+03  0.000000E+00  0.613206E+07
  0.417836E-01  0.589136E+07  0.584960E+07 -0.600656E+02  0.976650E+02  0.000000E+00  0.588438E+07
  0.435614E-01  0.565805E+07  0.561853E+07 -0.860879E+02  0.886763E+02  0.000000E+00  0.565144E+07
  0.454148E-01  0.543972E+07  0.540277E+07 -0.620160E+02  0.788728E+02  0.000000E+00  0.543355E+07
  0.473470E-01  0.523620E+07  0.520209E+07 -0.674373E+02  0.681355E+02  0.000000E+00  0.523050E+07
  0.493615E-01  0.504676E+07  0.501570E+07 -0.360417E+02  0.606550E+02  0.000000E+00  0.504157E+07
  0.514617E-01  0.487007E+07  0.484216E+07 -0.414749E+02  0.579543E+02  0.000000E+00  0.486540E+07
  0.536512E-01  0.470423E+07  0.467947E+07 -0.441150E+02  0.472638E+02  0.000000E+00  0.470009E+07
  0.559339E-01  0.454677E+07  0.452504E+07 -0.308464E+02  0.445764E+02  0.000000E+00  0.454314E+07
  0.583067E-01  0.439522E+07  0.437627E+07 -0.330979E+02  0.407535E+02  0.000000E+00  0.439206E+07
  0.606795E-01  0.425195E+07  0.423530E+07 -0.298690E+02  0.355742E+02  0.000000E+00  0.424917E+07
  0.630523E-01  0.411359E+07  0.409875E+07 -0.294027E+02  0.304338E+02  0.000000E+00  0.411111E+07
  0.654250E-01  0.397764E+07  0.396409E+07 -0.253049E+02  0.269813E+02  0.000000E+00  0.397538E+07
  0.677978E-01  0.384244E+07  0.382968E+07 -0.165043E+02  0.251837E+02  0.000000E+00  0.384031E+07
  0.701706E-01  0.370711E+07  0.369470E+07 -0.159787E+02  0.236123E+02  0.000000E+00  0.370504E+07
  0.725434E-01  0.357150E+07  0.355904E+07 -0.129513E+02  0.212022E+02  0.000000E+00  0.356942E+07
  0.749162E-01  0.343604E+07  0.342322E+07 -0.126671E+02  0.182961E+02  0.000000E+00  0.343390E+07
  0.772889E-01  0.330161E+07  0.328822E+07 -0.124469E+02  0.159759E+02  0.000000E+00  0.329937E+07
  0.796617E-01  0.316942E+07  0.315533E+07 -0.795171E+01  0.147200E+02  0.000000E+00  0.316707E+07
  0.820345E-01  0.304086E+07  0.302603E+07 -0.907719E+01  0.139620E+02  0.000000E+00  0.303838E+07
  0.844073E-01  0.291732E+07  0.290180E+07 -0.497334E+01  0.128687E+02  0.000000E+00  0.291473E+07
  0.867801E-01  0.280013E+07  0.278403E+07 -0.222144E+01  0.112857E+02  0.000000E+00  0.279744E+07
  0.891528E-01  0.269040E+07  0.267390E+07 -0.196015E+01  0.978617E+01  0.000000E+00  0.268764E+07
  0.915256E-01  0.258898E+07  0.257229E+07 -0.177059E+01  0.890984E+01  0.000000E+00  0.258619E+07
  0.938984E-01  0.249641E+07  0.247975E+07 -0.625029E+01  0.855381E+01  0.000000E+00  0.249363E+07
  0.962712E-01  0.241286E+07  0.239647E+07 -0.584679E+01  0.816759E+01  0.000000E+00  0.241012E+07
  0.986440E-01  0.233815E+07  0.232225E+07 -0.395763E+01  0.741820E+01  0.000000E+00  0.233549E+07
  0.101017E+00  0.227180E+07  0.225659E+07 -0.249383E+01  0.651968E+01  0.000000E+00  0.226926E+07
