    66    0.17799E+04    0.27182E+00   -0.42126E+01    0.55231E+07    0.10456E+05
    67    0.18036E+04    0.28376E+00   -0.46132E+01    0.54935E+07    0.10260E+05
    68    0.18277E+04    0.29595E+00   -0.50270E+01    0.54637E+07    0.10071E+05
    69    0.18521E+04    0.30838E+00   -0.54532E+01    0.54336E+07    0.98888E+04
    70    0.18768E+04    0.32103E+00   -0.58912E+01    0.54034E+07    0.97113E+04
    71    0.19017E+04    0.33389E+00   -0.63407E+01    0.53730E+07    0.95375E+04
    72    0.19270E+04    0.34697E+00   -0.68020E+01    0.53425E+07    0.93672E+04
    73    0.19525E+04    0.36026E+00   -0.72751E+01    0.53118E+07    0.92004E+04
    74    0.19782E+04    0.37375E+00   -0.77593E+01    0.52811E+07    0.90371E+04
    75    0.20042E+04    0.38743E+00   -0.82546E+01    0.52504E+07    0.88773E+04
    76    0.20301E+04    0.40128E+00   -0.87595E+01    0.52195E+07    0.87209E+04
    77    0.20561E+04    0.41529E+00   -0.92725E+01    0.51886E+07    0.85679E+04
    78    0.20820E+04    0.42946E+00   -0.97962E+01    0.51577E+07    0.84183E+04
    79    0.21082E+04    0.44377E+00   -0.10329E+02    0.51268E+07    0.82722E+04
    80    0.21346E+04    0.45821E+00   -0.10872E+02    0.50959E+07    0.81295E+04
    81    0.21615E+04    0.47277E+00   -0.11425E+02    0.50650E+07    0.79901E+04
    82    0.21887E+04    0.48745E+00   -0.11989E+02    0.50341E+07    0.78541E+04
    83    0.22163E+04    0.50222E+00   -0.12563E+02    0.50033E+07    0.77212E+04
    84    0.22442E+04    0.51709E+00   -0.13145E+02    0.49725E+07    0.75913E+04
    85    0.22723E+04    0.53202E+00   -0.13734E+02    0.49418E+07    0.74644E+04
    86    0.23008E+04    0.54702E+00   -0.14331E+02    0.49111E+07    0.73403E+04
    87    0.23295E+04    0.56206E+00   -0.14935E+02    0.48805E+07    0.72189E+04
    88    0.23583E+04    0.57715E+00   -0.15544E+02    0.48500E+07    0.71002E+04
    89    0.23874E+04    0.59225E+00   -0.16159E+02    0.48196E+07    0.69839E+04
    90    0.24167E+04    0.60736E+00   -0.16779E+02    0.47893E+07    0.68699E+04
    91    0.24461E+04    0.62247E+00   -0.17404E+02    0.47592E+07    0.67583E+04
    92    0.24757E+04    0.63755E+00   -0.18034E+02    0.47291E+07    0.66489E+04
    93    0.25056E+04    0.65261E+00   -0.18669E+02    0.46991E+07    0.65416E+04
    94    0.25356E+04    0.66761E+00   -0.19308E+02    0.46693E+07    0.64365E+04
    95    0.25659E+04    0.68256E+00   -0.19951E+02    0.46396E+07    0.63335E+04
