     2    0.12772E+04    0.54467E-01    0.54865E-02    0.33705E+01
     3    0.11741E+04    0.88418E-01    0.63652E-02    0.40754E+01
     4    0.10943E+04    0.99720E-01    0.62799E-02    0.41591E+01
     5    0.10350E+04    0.89028E-01    0.55386E-02    0.38484E+01
     6    0.99251E+03    0.66321E-01    0.44946E-02    0.33506E+01
     7    0.96325E+03    0.42628E-01    0.34307E-02    0.27999E+01
     8    0.94338E+03    0.24930E-01    0.25203E-02    0.22750E+01
     9    0.93178E+03    0.14969E-01    0.18401E-02    0.18257E+01
    10    0.92530E+03    0.10931E-01    0.13949E-02    0.14702E+01
    11    0.92287E+03    0.98250E-02    0.11539E-02    0.12197E+01
    12    0.92457E+03    0.93715E-02    0.10723E-02    0.10704E+01
    13    0.92870E+03    0.86336E-02    0.11029E-02    0.10059E+01
    14    0.93434E+03    0.77131E-02    0.12076E-02    0.10029E+01
    15    0.94155E+03    0.70612E-02    0.13579E-02    0.10413E+01
    16    0.95042E+03    0.69589E-02    0.15352E-02    0.11008E+01
    17    0.96065E+03    0.73474E-02    0.17277E-02    0.11678E+01
    18    0.97126E+03    0.79766E-02    0.19301E-02    0.12288E+01
    19    0.98347E+03    0.86200E-02    0.21394E-02    0.12819E+01
    20    0.99589E+03    0.92047E-02    0.23547E-02    0.13236E+01
    21    0.10088E+04    0.98144E-02    0.25757E-02    0.13562E+01
    22    0.10222E+04    0.10600E-01    0.28020E-02    0.13808E+01
    23    0.10359E+04    0.11683E-01    0.30336E-02    0.14014E+01
    24    0.10500E+04    0.13097E-01    0.32700E-02    0.14236E+01
    25    0.10645E+04    0.14801E-01    0.35109E-02    0.14505E+01
    26    0.10792E+04    0.16732E-01    0.37555E-02    0.14838E+01
    27    0.10942E+04    0.18850E-01    0.40040E-02    0.15201E+01
    28    0.11095E+04    0.21160E-01    0.42566E-02    0.15564E+01
    29    0.11251E+04    0.23680E-01    0.45126E-02    0.15908E+01
    30    0.11409E+04    0.26410E-01    0.47717E-02    0.16206E+01
    31    0.11568E+04    0.29329E-01    0.50337E-02    0.16428E+01
    32    0.11730E+04    0.32407E-01    0.52984E-02    0.16547E+01
    33    0.11894E+04    0.35627E-01    0.55657E-02    0.16532E+01
    34    0.12060E+04    0.39008E-01    0.58355E-02    0.16368E+01
    35    0.12229E+04    0.42585E-01    0.61075E-02    0.16073E+01
    36    0.12399E+04    0.46393E-01    0.63811E-02    0.15656E+01
    37    0.12570E+04    0.50463E-01    0.66558E-02    0.15133E+01
    38    0.12743E+04    0.54812E-01    0.69321E-02    0.14518E+01
    39    0.12919E+04    0.59444E-01    0.72097E-02    0.13817E+01
    40    0.13097E+04    0.64359E-01    0.74879E-02    0.13031E+01
    41    0.13276E+04    0.69552E-01    0.77663E-02    0.12164E+01
    42    0.13456E+04    0.75024E-01    0.80447E-02    0.11230E+01
    43    0.13638E+04    0.80770E-01    0.83229E-02    0.10231E+01
    44    0.13822E+04    0.86785E-01    0.86009E-02    0.91195E+00
    45    0.14008E+04    0.93051E-01    0.88779E-02    0.78672E+00
    46    0.14196E+04    0.99578E-01    0.91536E-02    0.64787E+00
    47    0.14386E+04    0.10637E+00    0.94273E-02    0.49595E+00
    48    0.14575E+04    0.11343E+00    0.96991E-02    0.33030E+00
    49    0.14768E+04    0.12077E+00    0.99688E-02    0.14996E+00
    50    0.14963E+04    0.12839E+00    0.10236E-01   -0.45049E-01
    51    0.15160E+04    0.13629E+00    0.10501E-01   -0.25279E+00
    52    0.15360E+04    0.14448E+00    0.10763E-01   -0.47271E+00
    53    0.15560E+04    0.15297E+00    0.11020E-01   -0.70461E+00
    54    0.15761E+04    0.16176E+00    0.11274E-01   -0.94790E+00
    55    0.15964E+04    0.17083E+00    0.11524E-01   -0.12021E+01
    56    0.16169E+04    0.18020E+00    0.11769E-01   -0.14680E+01
    57    0.16378E+04    0.18984E+00    0.12011E-01   -0.17470E+01
    58    0.16588E+04    0.19977E+00    0.12248E-01   -0.20384E+01
    59    0.16800E+04    0.20999E+00    0.12479E-01   -0.23413E+01
    60    0.17012E+04    0.22048E+00    0.12705E-01   -0.26562E+01
    61    0.17227E+04    0.23124E+00    0.12926E-01   -0.29841E+01
    62    0.17444E+04    0.24225E+00    0.13142E-01   -0.33260E+01
    63    0.17664E+04    0.25351E+00    0.13353E-01   -0.36814E+01
    64    0.17885E+04    0.26502E+00    0.13558E-01   -0.40498E+01
    65    0.18108E+04    0.27678E+00    0.13756E-01   -0.44307E+01
    66    0.18334E+04    0.28879E+00    0.13949E-01   -0.48239E+01
    67    0.18562E+04    0.30104E+00    0.14135E-01   -0.52296E+01
    68    0.18792E+04    0.31353E+00    0.14317E-01   -0.56478E+01
    69    0.19027E+04    0.32625E+00    0.14492E-01   -0.60777E+01
    70    0.19264E+04    0.33920E+00    0.14661E-01   -0.65190E+01
    71    0.19503E+04    0.35234E+00    0.14824E-01   -0.69713E+01
    72    0.19746E+04    0.36570E+00    0.14981E-01   -0.74350E+01
    73    0.19992E+04    0.37927E+00    0.15130E-01   -0.79101E+01
    74    0.20240E+04    0.39303E+00    0.15274E-01   -0.83959E+01
    75    0.20490E+04    0.40698E+00    0.15410E-01   -0.88923E+01
    76    0.20740E+04    0.42109E+00    0.15540E-01   -0.93979E+01
    77    0.20990E+04    0.43535E+00    0.15664E-01   -0.99112E+01
    78    0.21240E+04    0.44977E+00    0.15781E-01   -0.10435E+02
    79    0.21493E+04    0.46432E+00    0.15892E-01   -0.10967E+02
    80    0.21748E+04    0.47900E+00    0.15996E-01   -0.11508E+02
